X Y Z Doppler RCS Label Mahalanobis_Error
3.632380 4.339494 -1.121251 -0.399409 7.920000 0.000000 0.575581
4.974612 4.271073 -1.120577 -0.442390 8.700000 0.000000 0.209153
6.110875 0.932140 -1.120318 -0.573270 8.040000 0.000000 0.376507
6.354040 2.089072 -1.120155 -0.503474 8.440000 0.000000 0.475617
5.710333 0.532226 -1.119792 -0.523148 7.970000 0.000000 0.485438
5.432916 3.929799 -1.119586 -0.430735 7.990000 0.000000 0.449161
5.854752 1.340473 -1.119360 -0.512401 8.300000 0.000000 0.511171
5.252164 3.801333 -1.118379 -0.487824 8.810000 0.000000 0.503909
5.601864 0.522036 -1.117591 -0.523146 7.500000 0.000000 0.479935
6.458299 1.755314 -1.117130 -0.543404 8.000000 0.000000 0.056405
6.255953 0.108686 -1.116809 -0.543009 7.660000 0.000000 0.206245
5.022562 3.480814 -1.116706 -0.457043 7.670000 0.000000 0.098600
5.848176 0.287831 -1.116097 -0.573519 8.750000 0.000000 0.321123
4.196999 4.726590 -1.115651 -0.394346 7.210000 0.000000 0.270937
6.205541 1.218088 -1.115571 -0.518282 7.950000 0.000000 0.482280
5.976874 0.718421 -1.115495 -0.551524 8.290000 0.000000 0.010572
5.496883 2.371910 -1.114464 -0.509620 8.420000 0.000000 0.072290
4.968212 3.863638 -1.112929 -0.501005 7.750000 0.000000 0.911882
3.748322 4.271496 -1.112159 -0.428083 6.770000 0.000000 0.888694
6.020532 1.865754 -1.110985 -0.512518 8.000000 0.000000 0.358489
5.326016 1.754179 -1.110738 -0.526994 7.000000 0.000000 0.040217
5.430887 1.784819 -1.109889 -0.527102 7.220000 0.000000 0.046290
5.991271 3.354771 -1.106974 -0.458830 7.850000 0.000000 0.544557
6.087972 0.596651 -1.106676 -0.512998 7.450000 0.000000 0.672708
5.827665 0.274140 -1.106592 -0.522285 8.130000 0.000000 0.529178
6.213529 0.506889 -1.106050 -0.562679 7.800000 0.000000 0.134412
6.182387 2.916067 -1.105166 -0.479597 8.030000 0.000000 0.481787
6.034699 0.611757 -1.103965 -0.523165 7.480000 0.000000 0.500336
5.122442 3.220631 -1.102667 -0.435744 7.810000 0.000000 0.670833
5.825554 0.508173 -1.102101 -0.523140 7.600000 0.000000 0.500130
6.912696 0.000613 -1.101992 -0.542948 8.410000 0.000000 0.232262
5.759541 1.282236 -1.100249 -0.512422 8.390000 0.000000 0.521683
6.869156 0.386074 -1.098690 -0.513039 7.890000 0.000000 0.723504
6.150208 0.106852 -1.098128 -0.543009 8.370000 0.000000 0.206197
5.906846 0.885552 -1.097972 -0.589359 7.060000 0.000000 0.643790
5.893967 3.561114 -1.096606 -0.494023 7.220000 0.000000 0.183292
5.790453 0.500769 -1.096330 -0.552837 7.860000 0.000000 0.008631
6.150372 1.586794 -1.096000 -0.457499 6.150000 0.000000 1.386061
6.433119 1.332497 -1.092833 -0.548250 7.850000 0.000000 0.016648
6.252055 3.324611 -1.089584 -0.492634 7.880000 0.000000 0.085449
4.684881 3.409478 -1.088865 -0.447434 7.890000 0.000000 0.132296
6.131207 0.479311 -1.088278 -0.501688 6.240000 0.000000 0.877906
6.180524 1.931742 -1.087588 -0.504104 8.260000 0.000000 0.503107
5.523266 1.533292 -1.085726 -0.538251 7.740000 0.000000 0.015643
6.430659 0.960464 -1.084676 -0.529197 9.240000 0.000000 0.377678
6.117784 0.752627 -1.083864 -0.542180 8.560000 0.000000 0.176942
5.663812 3.425383 -1.083194 -0.455873 8.350000 0.000000 0.441275
5.606132 2.309352 -1.083192 -0.533684 8.050000 0.000000 0.259331
5.789380 0.658013 -1.080011 -0.603387 6.660000 0.000000 0.842579
5.658939 3.179724 -1.079647 -0.523231 8.760000 0.000000 0.534287
5.378907 2.258744 -1.075761 -0.533324 8.450000 0.000000 0.284234
5.746230 1.770488 -1.074987 -0.512227 7.590000 0.000000 0.363832
6.149535 2.280970 -1.073763 -0.511237 7.810000 0.000000 0.244957
6.416474 1.198351 -1.073157 -0.511050 7.140000 0.000000 0.633009
5.930227 3.234946 -1.070696 -0.500058 9.390000 0.000000 0.087493
